Title,Description,Article URL,Image URL,Premium,Article Type,Byline
" Isolated by Iran and Yemeni Houthi rebels, Saudi Arabia seeks US backing  ","With Tehran-allied rebels seizing control of the Bab al-Mandab Strait between the Red Sea and the Indian Ocean on Thursday, and Iran blocking the Strait of Hormuz, the kingdom is at risk of losing all maritime access for its oil tankers.",https://www.lemonde.fr/en/international/article/2026/09/12/isolated-by-iran-and-yemeni-houthi-rebels-saudi-arabia-seeks-us-backing_6757448_4.html,https://img.lemde.fr/2026/09/11/0/0/2550/1700/400/266/75/0/874329c_ftp-1-sbbt0ndz14rr-2026-09-11t224227z-902981239-rc29hna4d9v5-rtrmadp-3-iran-crisis-saudi-yemen-camp.JPG,Premium,,
French far right gets tangled up in headscarf ban proposal,,https://www.lemonde.fr/en/politics/article/2026/09/12/french-far-right-gets-tangled-up-in-headscarf-ban-proposal_6757442_5.html,https://img.lemde.fr/2026/07/07/19/0/3221/2147/398/265/75/0/99dcea2_ftp-1-nk7rcd3z7hlf-2026-07-07t175210z-1238213481-rc259mab9ap5-rtrmadp-3-france-politics-le-pen.JPG,Premium,,
"Hedge funds increasingly speculate on French debt, raising specter of crisis",,https://www.lemonde.fr/en/economy/article/2026/09/12/hedge-funds-increasingly-speculate-on-french-debt-raising-specter-of-crisis_6757450_19.html,https://img.lemde.fr/2026/09/11/0/0/2232/1488/398/265/75/0/cbc8f17_upload-1-w6ow3p8tieys-image0.jpeg,Premium,,
Internet access brings Brazil's Amazonian peoples into the presidential campaign: 'It shows politicians what's happening here!',"Thanks to Starlink antennas installed by a coalition of local organizations, thousands of isolated villages in the Amazon have internet access for the first time – and with it, political information that was previously out of reach, just ahead of the October 4 election.",https://www.lemonde.fr/en/international/article/2026/09/12/internet-access-brings-brazil-s-amazonian-peoples-into-the-presidential-campaign-it-shows-politicians-what-s-happening-here_6757441_4.html,https://img.lemde.fr/2026/09/11/0/0/5669/3779/398/265/75/0/b7029cf_upload-1-chrsm7rp19ng-prt26br3960mao.jpg,Premium,,
"Historian Valérie Dubslaff: 'The growing support of women for the AfD appears paradoxical, given how masculine the party's political culture remains'","Despite being fundamentally anti-feminist, anti-liberal and homophobic, the far-right party has managed to reach different segments of the electorate, explains the associate professor in German history and civilization.",https://www.lemonde.fr/en/opinion/article/2026/09/12/valerie-dubslaff-historian-the-growing-support-of-women-for-the-afd-appears-paradoxical-given-how-masculine-the-party-s-political-culture-remains_6757438_23.html,https://img.lemde.fr/2026/09/06/0/0/4896/3264/398/265/75/0/6009a2b_ftp-1-uctp4xom9ss6-5015244-01-06.jpg,Premium,,
Trap closes on French economy,"France needs to boost investment to rebuild its industry and adapt to climate change, but at the same time, it also has to reduce a public deficit that restricts its room for maneuver. Debates over the 2027 budget and the upcoming presidential election further complicate the equation.",https://www.lemonde.fr/en/politics/article/2026/09/12/trap-closes-on-french-economy_6757449_5.html,https://img.lemde.fr/2026/09/12/0/0/7642/5094/398/265/75/0/a2731ef_upload-1-enzg7w3q1mip-000-b7yq2p8.jpg,,Editorial,
Are influencers out of touch? Their followers are starting to think so,"Like many content creators, French YouTuber Léna Situations has faced harsh criticism that she seems out of touch. Over the past 10 years, she has gone from being the best friend of her followers to a superstar. She recently hosted a live spectacle in front of some 20,000 people at Paris's Accor Arena.",https://www.lemonde.fr/en/pixels/article/2026/09/12/are-influencers-out-of-touch-their-followers-are-starting-to-think-so_6757447_13.html,https://img.lemde.fr/2025/12/10/958/0/2000/1333/664/442/75/0/cd5efbb_upload-1-zkqdahl2nawp-paris-creator-weekle-monde-dunne-odhran15.jpg,Premium,In Depth, Aurélien Defer 
French police suspect train derailment was sabotage,,https://www.lemonde.fr/en/france/article/2026/09/12/french-police-suspect-train-derailment-was-sabotage_6757446_7.html,https://img.lemde.fr/2026/09/12/125/0/3000/2000/198/132/95/0/78bb0f5_ftp-1-eyd5ft4yaqls-5064946-01-06.jpg,,,
Crypto billionaire gives Farage's Reform UK record £36 million donation,,https://www.lemonde.fr/en/international/article/2026/09/12/crypto-billionaire-gives-farage-s-reform-uk-record-36-million-donation_6757440_4.html,https://img.lemde.fr/2026/09/11/0/0/5500/3666/198/132/95/0/319ede7_ftp-1-om3jarmvg4wu-2026-09-11t213902z-693307533-rc24dnaczdt1-rtrmadp-3-britain-politics-donations-delo.JPG,,,
First bodies of Philippines ferry fire victims land as toll rises to 35,,https://www.lemonde.fr/en/international/article/2026/09/12/first-bodies-of-philippines-ferry-fire-victims-land-as-toll-rises-to-35_6757445_4.html,https://img.lemde.fr/2026/09/11/0/0/1800/1200/198/132/95/0/3ec762b_ftp-1-exdgd5wvrvso-682a6b2e89864f4382e1417fafb56474-0-45b27af4c031401381863d15d84ac538.jpg,,,
